,title,price,link,keyword
16,piano tuning & repair,175,https://charlottesville.craigslist.org/msg/d/charlottesville-piano-tuning-repair/7787801838.html,missing
17,ukulele case pineapple design,5,https://charlottesville.craigslist.org/msg/d/palmyra-ukulele-case-pineapple-design/7789431600.html,missing
18,ukulele case with watermelon design,5,https://charlottesville.craigslist.org/msg/d/palmyra-ukulele-case-with-watermelon/7789431343.html,missing
19,music stands / dj stands / laptop stands,40,https://charlottesville.craigslist.org/msg/d/charlottesville-music-stands-dj-stands/7786401940.html,missing
20,"levy's, dunlop, and generic adjustable guitar straps",25,https://charlottesville.craigslist.org/msg/d/charlottesville-levys-dunlop-and/7786402984.html,missing
21,sire v5 4 string bass guitar,425,https://charlottesville.craigslist.org/msg/d/louisa-sire-v5-string-bass-guitar/7789408436.html,missing
22,vintage emenee music toy,25,https://charlottesville.craigslist.org/msg/d/bremo-bluff-vintage-emenee-music-toy/7787308273.html,missing
23,"near mint epiphone pro-1 guitar w pickup, case, tuner",150,https://charlottesville.craigslist.org/msg/d/crozet-near-mint-epiphone-pro-guitar/7789296842.html,epiphone
24,yamaha 30w combo amp accutronics reverb,150,https://charlottesville.craigslist.org/msg/d/glen-allen-yamaha-30w-combo-amp/7789286719.html,yamaha
25,presonus audiobox usb 96 anniversary ed.,40,https://charlottesville.craigslist.org/msg/d/orange-presonus-audiobox-usb-96/7787249155.html,missing
26,cordoba gk studio negra lefty,460,https://charlottesville.craigslist.org/msg/d/bowling-green-cordoba-gk-studio-negra/7789268689.html,missing
27,looking for broken or unwanted musical instruments,1,https://charlottesville.craigslist.org/msg/d/crozet-looking-for-broken-or-unwanted/7789242617.html,missing
28,"pa amp for parts or repair, with case, free",1,https://charlottesville.craigslist.org/msg/d/crozet-pa-amp-for-parts-or-repair-with/7783477517.html,missing
29,(100) 45 rpm records,30,https://charlottesville.craigslist.org/msg/d/troy-rpm-records/7783124414.html,missing
30,vintage music song books,10,https://charlottesville.craigslist.org/msg/d/troy-vintage-music-song-books/7786493159.html,missing
31,5 string fender banjo/hardcase,1200,https://charlottesville.craigslist.org/msg/d/troy-string-fender-banjo-hardcase/7788463093.html,fender
32,"epiphone ""worn"" casino",375,https://charlottesville.craigslist.org/msg/d/staunton-epiphone-worn-casino/7782641687.html,epiphone
33,2003 schecter s-1 blackjack-usa duncans,525,https://charlottesville.craigslist.org/msg/d/charlottesville-2003-schecter-1/7789035828.html,missing
34,"epiphone ""inspired by"" red  355 guitar",1150,https://charlottesville.craigslist.org/msg/d/staunton-epiphone-inspired-by-red-355/7786528187.html,epiphone
35,"epiphone ""inspired by"" les paul custom",1050,https://charlottesville.craigslist.org/msg/d/staunton-epiphone-inspired-by-les-paul/7782588710.html,epiphone
36,pearl roadshow 5-piece complete drum set with cymbals,400,https://charlottesville.craigslist.org/msg/d/charlottesville-pearl-roadshow-piece/7788780205.html,missing
37,boss rc-2 loop station in box,50,https://charlottesville.craigslist.org/msg/d/charlottesville-boss-rc-loop-station-in/7788737466.html,missing
38,martin 2005 d35 sunburst acoustic,2800,https://charlottesville.craigslist.org/msg/d/charlottesville-martin-2005-d35/7780483373.html,martin
39,behringer dd600 digital delay,20,https://charlottesville.craigslist.org/msg/d/charlottesville-behringer-dd600-digital/7788735753.html,missing
40,"5f1 tweed champ, 12"" cabinet, celestion speaker",750,https://charlottesville.craigslist.org/msg/d/charlottesville-5f1-tweed-champ-12/7788731232.html,missing
41,ehx holy grail nano,65,https://charlottesville.craigslist.org/msg/d/charlottesville-ehx-holy-grail-nano/7788731195.html,missing
42,1980 mxr m102 dyna comp with ross mod and added 9v jack,110,https://charlottesville.craigslist.org/msg/d/charlottesville-1980-mxr-m102-dyna-comp/7788731162.html,missing
43,guitar pedal repair and restoration,0,https://charlottesville.craigslist.org/msg/d/charlottesville-guitar-pedal-repair-and/7788731110.html,missing
44,1979 mu-tron iii envelope filter,895,https://charlottesville.craigslist.org/msg/d/charlottesville-1979-mu-tron-iii/7788729541.html,missing
45,early 70's univox u-1095 superfuzz,895,https://charlottesville.craigslist.org/msg/d/charlottesville-early-70s-univox-1095/7788729641.html,missing
46,"1978 mxr distortion +, script box, with 9v jack and pete's tweaks",100,https://charlottesville.craigslist.org/msg/d/charlottesville-1978-mxr-distortion-box/7788729611.html,missing
47,christmas stocking with guitar or french horn new,8,https://charlottesville.craigslist.org/msg/d/earlysville-christmas-stocking-with/7785828349.html,missing
48,gretsch g5410t electromatic “rat rod” hollowbody electric guitar,550,https://charlottesville.craigslist.org/msg/d/crozet-gretsch-g5410t-electromatic-rat/7788596850.html,gretsch
49,awesome! hughes & kettner era1 250w acoustic guitar amp w softcover,650,https://charlottesville.craigslist.org/msg/d/crozet-awesome-hughes-kettner-era1-250w/7788597572.html,missing
50,vintage yamaha fg-340 acoustic electric guitar,300,https://charlottesville.craigslist.org/msg/d/crozet-vintage-yamaha-fg-340-acoustic/7788597326.html,yamaha
51,blackstar id:core stereo100 guitar amp w ftswitch for built in looper,225,https://charlottesville.craigslist.org/msg/d/crozet-blackstar-idcore-stereo100/7788597094.html,missing
52,upright bass stands,15,https://charlottesville.craigslist.org/msg/d/louisa-upright-bass-stands/7788541605.html,missing
53,yamaha piano key cover,15,https://charlottesville.craigslist.org/msg/d/troy-yamaha-piano-key-cover/7784764787.html,yamaha
54,esp ltd m-1000 ebony,800,https://charlottesville.craigslist.org/msg/d/culpeper-esp-ltd-1000-ebony/7785553274.html,esp
55,electric guitars,100,https://charlottesville.craigslist.org/msg/d/charlottesville-electric-guitars/7788431545.html,missing
56,usa peavey bandit transtube spring reverb amp,200,https://charlottesville.craigslist.org/msg/d/glen-allen-usa-peavey-bandit-transtube/7782303721.html,missing
57,gretsch g5622t electromatic guitar w/bigsby,440,https://charlottesville.craigslist.org/msg/d/charlottesville-gretsch-g5622t/7783201045.html,gretsch
58,spinet piano,0,https://charlottesville.craigslist.org/msg/d/culpeper-spinet-piano/7787893969.html,missing
59,trumpet - gerhard baier,900,https://charlottesville.craigslist.org/msg/d/charlottesville-trumpet-gerhard-baier/7787706448.html,missing
